agent,attempt_id,timestamp_utc,elapsed_hours,raw_fd,score_improvement_vs_start39060,running_best_score,running_best_raw_fd,metric,source_file
Claude,c10m-015-diag-cfg-noise,2026-09-21T21:08:08+00:00,1.8750,1092.240868,194.209530,266.881856,1019.568542,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-015-diag-cfg-noise/evals/root_cfg2.0/fd.json
Claude,c10m-015-diag-cfg-noise,2026-09-21T21:08:08+00:00,1.8750,989.569569,296.880829,296.880829,989.569569,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-015-diag-cfg-noise/evals/root_cfg3.0/fd.json
Claude,c10m-015-diag-cfg-noise,2026-09-21T21:08:08+00:00,1.8750,1286.026488,0.423910,296.880829,989.569569,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-015-diag-cfg-noise/evals/root_ema_seed1/fd.json
Claude,c10m-014-mg05,2026-09-21T21:15:31+00:00,1.9981,924.295030,362.155368,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-014-mg05/evals/s6000_ema_n10k/fd.json
Claude,c10m-014-mg05,2026-09-21T21:15:31+00:00,1.9981,998.341008,288.109391,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-014-mg05/evals/s6000_raw_n10k/fd.json
Claude,c10m-012-cropc,2026-09-21T22:56:46+00:00,3.6856,1020.260848,266.189550,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-012-cropc/evals/s6000_ema_n10k/fd.json
Claude,c10m-012-cropc,2026-09-21T22:56:46+00:00,3.6856,1065.906806,220.543592,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-012-cropc/evals/s6000_raw_n10k/fd.json
Claude,c10m-022-ctrl-seed1,2026-09-22T05:02:13+00:00,9.7764,1029.987028,256.463370,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-022-ctrl-seed1/evals/s6000_ema_n10k/fd.json
Claude,c10m-023-stack3,2026-09-22T05:02:43+00:00,9.7847,1013.106729,273.343669,362.155368,924.295030,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-023-stack3/evals/s6000_ema_n10k/fd.json
Claude,c10m-020-mg10,2026-09-22T05:09:44+00:00,9.9017,858.909074,427.541324,427.541324,858.909074,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-020-mg10/evals/s6000_ema_n10k/fd.json
Claude,c10m-024-mg10-stack3,2026-09-22T05:16:16+00:00,10.0106,849.344352,437.106046,437.106046,849.344352,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-024-mg10-stack3/evals/s6000_ema_n10k/fd.json
Claude,c10m-025-ctrl-long,2026-09-22T06:38:29+00:00,11.3808,970.020170,316.430228,437.106046,849.344352,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-025-ctrl-long/evals/s12000_ema_n10k/fd.json
Claude,c10m-025-ctrl-long,2026-09-22T06:38:29+00:00,11.3808,918.334484,368.115914,437.106046,849.344352,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-025-ctrl-long/evals/s18000_ema_n10k/fd.json
Claude,c10m-032-mg20s3,2026-09-22T13:28:36+00:00,18.2161,766.824111,519.626287,519.626287,766.824111,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-032-mg20s3/evals/s6000_ema_n10k/fd.json
Claude,c10m-033-mg30s3,2026-09-22T13:28:36+00:00,18.2161,729.334285,557.116113,557.116113,729.334285,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-033-mg30s3/evals/s6000_ema_n10k/fd.json
Claude,c10m-034-mgema05cc,2026-09-22T13:29:06+00:00,18.2244,810.586273,475.864125,557.116113,729.334285,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-034-mgema05cc/evals/s6000_ema_n10k/fd.json
Codex,l1-fd-screen-4096,2026-09-21T21:35:51+00:00,0.2842,1287.355256,-0.904858,-0.904858,1287.355256,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l1-fd-screen-4096/candidate-fd.json
Codex,l1-fd-screen-4096,2026-09-21T21:35:51+00:00,0.2842,1289.733121,-3.282723,-0.904858,1287.355256,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l1-fd-screen-4096/control-fd.json
Codex,l2-fd-replication-4096-seed1,2026-09-21T21:58:06+00:00,0.6550,1281.470094,4.980304,4.980304,1281.470094,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-replication-4096-seed1/candidate-fd.json
Codex,l2-fd-replication-4096-seed1,2026-09-21T21:58:06+00:00,0.6550,1283.785697,2.664702,4.980304,1281.470094,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-replication-4096-seed1/control-fd.json
Codex,l2-fd-confirm-16384-seed2,2026-09-21T23:05:34+00:00,1.7794,1242.901221,43.549178,43.549178,1242.901221,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-confirm-16384-seed2/candidate-fd.json
Codex,l2-fd-confirm-16384-seed2,2026-09-21T23:05:34+00:00,1.7794,1245.915233,40.535165,43.549178,1242.901221,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-confirm-16384-seed2/control-fd.json
Codex,l2-fd-ema999-vs-ema9999-4096,2026-09-22T00:47:59+00:00,3.4864,1176.600888,109.849510,109.849510,1176.600888,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-ema999-vs-ema9999-4096/candidate-fd.json
Codex,l2-fd-ema999-vs-ema9999-4096,2026-09-22T00:47:59+00:00,3.4864,1283.713049,2.737349,109.849510,1176.600888,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-ema999-vs-ema9999-4096/control-fd.json
Codex,l2-fd-ema999-replication-4096-seed4,2026-09-22T01:09:41+00:00,3.8481,1189.481962,96.968437,109.849510,1176.600888,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-ema999-replication-4096-seed4/candidate-fd.json
Codex,l2-fd-ema999-replication-4096-seed4,2026-09-22T01:09:41+00:00,3.8481,1298.354381,-11.903982,109.849510,1176.600888,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l2-fd-ema999-replication-4096-seed4/control-fd.json
Codex,l3-fd-4000-vs-1000-4096,2026-09-22T07:10:45+00:00,9.8658,1102.135659,184.314739,184.314739,1102.135659,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l3-fd-4000-vs-1000-4096/candidate-fd.json
Codex,l3-fd-4000-vs-1000-4096,2026-09-22T07:10:45+00:00,9.8658,1192.276783,94.173615,184.314739,1102.135659,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l3-fd-4000-vs-1000-4096/control-fd.json
Codex,l3-fd-confirm-4000-vs-1000-16384-seed6,2026-09-22T09:10:16+00:00,11.8578,1043.392595,243.057803,243.057803,1043.392595,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l3-fd-confirm-4000-vs-1000-16384-seed6/candidate-fd.json
Codex,l3-fd-confirm-4000-vs-1000-16384-seed6,2026-09-22T09:10:16+00:00,11.8578,1128.596645,157.853753,243.057803,1043.392595,fd_dinov2_val,/shared/gpic-autoresearch-10m/codex/attempts/l3-fd-confirm-4000-vs-1000-16384-seed6/control-fd.json
